DWO ID,Bureau stn_num,DWO name,latitude,longitude
2001,68241,Albion Park,-34.5638,150.79
2002,72160,Albury-wodonga,-36.069,146.9509
2003,58131,Alstonville,-28.8521,153.4556
2004,56037,Armidale,-30.5264,151.6697
2005,67108,Badgerys Creek,-33.8969,150.7281
2006,58198,Ballina,-28.8353,153.5585
2007,49002,Balranald,-34.6398,143.561
2008,66137,Bankstown,-33.9181,150.9864
2009,53002,Baradine,-30.9469,149.0654
2010,54003,Barraba,-30.3781,150.6096
2011,69134,Batemans Bay,-35.7234,150.1872
2012,63005,Bathurst,-33.4289,149.5559
2013,69139,Bega,-36.6722,149.8191
2014,68228,Bellambi,-34.3691,150.9291
2015,70328,Bombala,-37.0016,149.2336
2016,48245,Bourke,-30.0362,145.9521
2017,68102,Bowral,-34.4869,150.4019
2018,69132,Braidwood,-35.4253,149.7835
2019,48015,Brewarrina,-29.9614,146.8651
2020,47007,Broken Hill,-31.9759,141.4676
2021,73007,Burrinjuck Dam,-34.9997,148.5984
2022,58216,Byron Bay,-28.6399,153.6358
2023,72161,Cabramurra,-35.9371,148.3779
2024,68192,Camden,-34.0391,150.689
2025,66194,Canterbury,-33.9057,151.1134
2026,58208,Casino,-28.8775,153.052
2027,61260,Cessnock ,-32.7886,151.3377
2028,71003,Charlotte Pass,-36.4335,148.3327
2029,48027,Cobar,-31.484,145.8294
2030,59040,Coffs Harbour,-30.3107,153.1187
2031,48031,Collarenebri,-29.5407,148.5818
2032,50137,Condobolin,-33.0682,147.2133
2033,70278,Cooma,-36.2318,149.1243
2034,64008,Coonabarabran,-31.2712,149.2714
2035,51161,Coonamble,-30.9776,148.3798
2036,73142,Cootamundra,-34.6299,148.0364
2037,74034,Corowa,-35.9887,146.3574
2038,65111,Cowra,-33.8449,148.6497
2039,74258,Deniliquin,-35.5575,144.9458
2040,59140,Dorrigo,-30.3442,152.7187
2041,65070,Dubbo,-32.2206,148.5753
2042,64009,Dunedoo,-32.0159,149.3964
2043,58212,Evans Head,-29.183,153.3964
2045,65103,Forbes,-33.3627,147.9205
2046,60013,Forster,-32.1756,152.5089
2047,56013,Glen Innes,-29.6953,151.6936
2048,61087,Gosford,-33.3949,151.3289
2049,70330,Goulburn,-34.8085,149.7312
2050,58130,Grafton,-29.6823,152.9278
2051,69137,Green Cape,-37.2622,150.0504
2052,73014,Grenfell,-33.9029,148.1718
2053,75041,Griffith,-34.2487,146.0695
2054,62013,Gulgong,-32.3634,149.5329
2055,73141,Gundagai,-35.0479,148.1075
2056,55202,Gunnedah,-30.9537,150.2494
2057,56229,Guyra,-30.2126,151.6787
2058,75031,Hay,-34.5194,144.8545
2059,75032,Hillston,-33.4915,145.5249
2060,67117,Holsworthy,-33.9795,150.9254
2061,66195,Sydney Olympic Park,-33.8521,151.0646
2062,67119,Horsley Park,-33.8511,150.8567
2063,72023,Hume Reservoir,-36.1039,147.0329
2064,56018,Inverell,-29.7752,151.0819
2065,49000,Ivanhoe,-32.8831,144.3088
2066,61086,Jerrys Plains,-32.4972,150.9093
2067,68151,Jervis Bay,-35.0936,150.8049
2068,63039,Katoomba,-33.7122,150.3087
2069,59017,Kempsey,-31.077,152.8235
2070,72162,Khancoban,-36.2304,148.1405
2071,75039,Lake Cargelligo,-33.2833,146.3707
2072,47016,Lake Victoria,-34.0398,141.2652
2073,48243,Lightning Ridge,-29.431,147.9722
2074,58221,Lismore,-28.7853,153.3409
2075,63226,Lithgow,-33.4769,150.1303
2076,67020,Liverpool,-33.9214,150.8861
2077,200839,Lord Howe Island,-31.5421,159.0786
2078,61288,Lostock,-32.3322,151.4595
2079,61388,Maitland,-32.7427,151.5683
2080,61375,Mangrove Mountain,-33.2894,151.2107
2081,47019,Menindee,-32.3937,142.4173
2082,69147,Merimbula,-36.9077,149.8989
2083,69017,Montague Island,-36.2519,150.2275
2084,53115,Moree,-29.4914,149.8458
2085,69018,Moruya,-35.9093,150.1532
2086,68239,Moss Vale,-34.5253,150.4217
2087,63292,Mount Boyce,-33.6185,150.2741
2088,62101,Mudgee,-32.5628,149.6149
2089,52020,Mungindi,-28.9786,148.9899
2090,61051,Murrurundi,-31.7651,150.8363
2091,58158,Murwillumbah,-28.3395,153.3809
2092,69022,Narooma ,-36.2144,150.1358
2093,54038,Narrabri,-30.3154,149.8302
2094,74221,Narrandera,-34.7325,146.5592
2095,61054,Nelson Bay,-32.7103,152.1612
2096,69049,Nerriga,-35.1165,150.0847
2097,61055,Newcastle,-32.9185,151.7985
2098,61390,Newcastle University,-32.8905,151.707
2099,61366,Norah Head,-33.2815,151.5766
